Product Name,Article Number,Product Description,Designer,Number of Ratings,Overall Rating,Product Department,Product Subfunction,Number of Packages,Package Width,Package Height,Package Length,Package Weight
GODDAG,503.438.02,The runner protects the table and creates a decorative table setting.,Paulin Machado,22,4.5,Dining,Table cloths & runners,1,na,na,36 cm,0.46 kg
MÄRIT,104.038.74,Colors are retained wash after wash thanks to the yarn-dyed cotton.,,1,2,Dining,Place mats & coasters,1,12 cm,1 cm,35 cm,0.09 kg
MÄRIT,903.894.59,Protects the table top surface and reduces noise from plates and flatware.,,1,5,Dining,Place mats & coasters,1,12 cm,1 cm,35 cm,0.09 kg
MÄRIT,503.628.81,Protects the table top surface and reduces noise from plates and flatware.,,2,5,Dining,Place mats & coasters,1,12 cm,1 cm,35 cm,0.09 kg
MÄRIT,504.038.72,A versatile way to decorate your table – either paired with a tablecloth underneath or on its own making it easier to wipe the table clean. The yarn-dyed cotton retains its colors wash after wash.,,1,5,Dining,Table cloths & runners,1,na,na,35 cm,0.24 kg
MÄRIT,703.894.60,A versatile way to decorate your table – either paired with a tablecloth underneath or on its own making it easier to wipe the table clean. The yarn-dyed cotton retains its colors wash after wash.,,3,4.3,Dining,Table cloths & runners,1,na,na,35 cm,0.24 kg
PANNÅ,404.089.07,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,na,See Reviews,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.06 kg
PIPIG,903.429.47,Protects the table top surface and reduces noise from glasses and mugs.,Stina Lanneskog,11,4.5,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.09 kg
RUTIG,503.640.93,The tablecloth both protects the table and creates a decorative table setting with atmosphere.,Paulin Machado,7,4.4,Dining,Table cloths & runners,1,13 cm,7 cm,30 cm,0.71 kg
SEVÄRD,103.640.90,The tablecloth both protects the table and creates a decorative table setting with atmosphere.,Paulin Machado,na,See Reviews,Dining,Table cloths & runners,1,14 cm,7 cm,28 cm,0.91 kg
SNOBBIG,003.981.99,Protects the table top surface and reduces noise from glasses and mugs.,I Vuorivirta/I Pettersson,2,3.5,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.06 kg
SNOBBIG,403.982.01,Protects the table top surface and reduces noise from glasses and mugs.,I Vuorivirta/I Pettersson,1,5,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.06 kg
SOMMAR 2019,004.205.86,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,1,4,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.09 kg
SOMMAR 2019,004.204.83,The tablecloth both protects the table and creates a decorative table setting with atmosphere.,IKEA of Sweden,na,See Reviews,Dining,Table cloths & runners,1,13 cm,4 cm,20 cm,0.38 kg
TOGA,503.438.59,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,10,3.7,Dining,Place mats & coasters,1,na,na,35 cm,0.16 kg
UTLÄGGA,303.891.79,The runner protects the table and creates a decorative table setting.,IKEA of Sweden,1,5,Dining,Table cloths & runners,1,na,na,36 cm,0.53 kg
na,na,na,na,na,na,Dining,na,na,na,na,na,na
GODIS,200.921.07,"The glass has a simple tall and straight shape which makes it perfect for all types of cold drinks, such as carbonated cocktails with a lot of ice.",IKEA of Sweden,75,4.5,Dining,Glasses,1,16 cm,16 cm,24 cm,2.17 kg
GODIS,800.921.09,"The glass has a simple low and straight shape which makes it perfect for all types of cold drinks, such as cocktails with ice.",IKEA of Sweden,45,4.8,Dining,Glasses,1,17 cm,10 cm,25 cm,1.79 kg
IKEA 365+,602.797.11,IKEA 365+ series has everything for the table – to be enjoyed for its everyday simplicity or enhanced with colors and accessories. Made from tempered glass that holds both hot and cold beverages.,Preutz/Wihlborg/Braasch/Karlsson,78,4.6,Dining,Glasses,1,21 cm,9 cm,27 cm,2.47 kg
IKEA 365+,702.783.58,IKEA 365+ series has everything for the table – to be enjoyed for its everyday simplicity or enhanced with colors and accessories. Made from tempered glass that holds both hot and cold beverages.,Preutz/Wihlborg/Braasch/Karlsson,29,4.8,Dining,Glasses,1,18 cm,8 cm,24 cm,1.73 kg
POKAL,302.882.41,A classic design that holds both hot and cold drinks. You can heat-up your tea in the microwave and enjoy it indoors or on the terrace .,IKEA of Sweden,45,4.8,Dining,Glasses,1,20 cm,10 cm,27 cm,1.88 kg
POKAL,102.704.78,A classic design that holds both hot and cold drinks. You can heat-up your tea in the microwave and enjoy it indoors or on the terrace .,IKEA of Sweden,35,4.8,Dining,Glasses,1,na,na,14 cm,0.43 kg
POKAL,900.919.96,A classic design that holds both hot and cold drinks. You can heat-up your tea in the microwave and enjoy it indoors or on the terrace .,IKEA of Sweden,14,4.9,Dining,Speciality glassware,1,10 cm,6 cm,17 cm,0.45 kg
KARAFF,003.429.75,The simple design means that the glass carafe can be used for beverages and as a flower vase.,Iina Vuorivirta,13,4.9,Dining,Pitchers & carafes,1,na,na,20 cm,0.41 kg
SOMMAR 2019,304.198.50,,Hanna Crondahl,na,See Reviews,Dining,Wine glasses,1,20 cm,14 cm,20 cm,0.29 kg
SOMMAR 2019,004.210.34,,Malin Unnborn,na,See Reviews,Dining,Glasses,1,18 cm,10 cm,28 cm,1.08 kg
KALLNA,803.429.95,"Also suitable for hot drinks.
								                                                                                          
								Made of tempered glass, which makes the glass durable and extra resistant to impact.",Nike Karlsson,28,5,Dining,Glasses,1,19 cm,9 cm,25 cm,1.57 kg
HEDERLIG,201.548.69,"The glass has a large round bowl which helps the wine’s aromas and flavors to develop better, enhancing your experience of the drink.",Anne Nilsson,12,4.9,Dining,Wine glasses,1,na,na,23 cm,0.22 kg
INTAGANDE,603.322.85,,Aaron Probyn,7,4.4,Dining,Speciality glassware,1,na,13 cm,na,0.21 kg
IVRIG,502.583.23,"The squared bowl gives IVRIG series its special character. Durable and dishwasher-safe, adding a touch of luxury to the everyday meal and just as appreciated for the more special celebrations.",Ola Wihlborg,14,4.5,Dining,Glasses,1,na,na,11 cm,0.18 kg
VARDAGEN,703.131.06,"Life’s a party, but most days are pretty ordinary. Make the most of them by serving delicious beverages in this simple, timeless glassware. Like it? There’s a whole series with the same name.",Preutz/Wihlborg/Braasch/Karlsson,45,4.8,Dining,Glasses,1,20 cm,10 cm,28 cm,2.11 kg
HEDERLIG,802.358.39,"The glass has an elongated bowl which keeps the wine cool and makes the aromas more distinct, enhancing your experience of the drink.",Anne Nilsson,9,4.7,Dining,Wine glasses,1,na,na,23 cm,0.20 kg
VÅRKUL,703.983.46,"The glass has a simple tall and straight shape which makes it perfect for all types of cold drinks, such as carbonated cocktails with a lot of ice.",IKEA of Sweden,2,5,Dining,Glasses,1,16 cm,16 cm,24 cm,2.17 kg
HEDERLIG,001.548.70,"Extra large cup helps retain the aroma.
								                                                                                          
								The glass has a large round bowl which helps the wine’s aromas and flavors to develop better, enhancing your experience of the drink.",Anne Nilsson,34,4.9,Dining,Wine glasses,1,na,na,23 cm,0.24 kg
VARDAGEN,502.919.21,"Life’s a party, but most days are pretty ordinary. Make the most of them by serving up good food on this simple, timeless dinnerware. Like it? There’s a whole series with the same name.",Preutz/Wihlborg/Braasch/Karlsson,40,4.9,Dining,Pitchers & carafes,1,na,na,25 cm,0.60 kg
IKEA 365+,502.797.21,Also suitable for hot drinks.,Preutz/Wihlborg/Braasch/Karlsson,47,4,Dining,Pitchers & carafes,1,18 cm,12 cm,22 cm,0.59 kg
IKEA 365+,902.797.19,IKEA 365+ series has everything for the table – to be enjoyed for its everyday simplicity or enhanced with colors and accessories. Made from tempered glass that holds both hot and cold beverages.,Preutz/Wihlborg/Braasch/Karlsson,25,4.7,Dining,Pitchers & carafes,1,na,na,28 cm,0.45 kg
DYRGRIP,403.093.04,The crystalline glass has a shiny luster and creates a beautiful reverberation when you toast with family and friends.,Ingegerd Råman,12,4.8,Dining,Glasses,1,na,na,9 cm,0.13 kg
SÖTVATTEN,503.653.23,The wide straw is ideal for thicker drinks such as smoothies.,,32,4.9,Dining,Drinking accessories,1,14 cm,4 cm,22 cm,0.10 kg
FARLIG,802.398.75,,,90,3.9,Dining,Pitchers & carafes,1,16 cm,9 cm,26 cm,0.84 kg
KORKEN,402.279.83,Tight-fitting stopper prevents leaks.,IKEA of Sweden,70,4.6,Dining,Pitchers & carafes,1,na,na,29 cm,0.60 kg
INTAGANDE,903.319.63,,Aaron Probyn,11,4.8,Dining,Glasses,1,na,8 cm,na,0.14 kg
VARDAGEN,202.869.16,"Life’s a party, but most days are pretty ordinary. Make the most of them by serving delicious beverages in this simple, timeless glassware. Like it? There’s a whole series with the same name.",Preutz/Wihlborg/Braasch/Karlsson,24,4.8,Dining,Glasses,1,16 cm,8 cm,23 cm,1.10 kg
PLASTIS,601.381.13,,IKEA of Sweden,59,4.3,Dining,Drinking accessories,1,18 cm,3 cm,18 cm,0.11 kg
VECKAD,404.237.38,"The glass has a simple tall and straight shape which makes it perfect for all types of cold drinks, such as carbonated cocktails with a lot of ice.",IKEA of Sweden/K Arora,1,5,Dining,Glasses,1,19 cm,13 cm,28 cm,1.54 kg
